taglib	14074		0sec	82	0.005826346454455024		30sec	324	0.023021173795651557		1min	174	0.012363222964331391		5min	2161	0.1535455449765525		10min	1024	0.07275827767514566		>10min	10302	0.7319880630950689				
qupzilla	40326		0sec	114	0.0028269602737687844		30sec	2708	0.06715270545057779		1min	1448	0.035907355056291224		5min	4111	0.1019441551356445		10min	2791	0.06921093091305858		>10min	29102	0.7216684025194664				
oce	707472		0sec	848	0.0011986340095438406		30sec	5713	0.008075231245900897		1min	825	0.0011661238890019676		5min	14494	0.020487029875387294		10min	23656	0.03343736571906733		>10min	660724	0.9339224732568921				
wesnoth	2517165		0sec	9601	0.003814211622996506		30sec	167181	0.06641638509990407		1min	120628	0.04792216640546011		5min	431590	0.17145876412551422		10min	246138	0.09778381631716633		>10min	1536559	0.6104323713383906				
jubatus	70919		0sec	1303	0.01837307350639462		30sec	1589	0.02240584328600234		1min	1227	0.017301428390135223		5min	7538	0.10629027482056995		10min	3545	0.04998660443604676		>10min	55643	0.7845993316318617				
leechcraft	439336		0sec	199	0.0004529562794763006		30sec	26943	0.06132663838155762		1min	15826	0.03602254311051223		5min	40874	0.09303585410710709		10min	40412	0.09198426716681538		>10min	314838	0.716622357375676				
thrift	21198		0sec	373	0.017595999622605905		30sec	2023	0.09543353146523256		1min	402	0.018964053212567222		5min	1347	0.06354373054061704		10min	1870	0.08821586942164356		>10min	14896	0.7027078026228889				
avian	38949		0sec	1132	0.029063647333692776		30sec	1599	0.04105368558884696		1min	814	0.020899124496135974		5min	3093	0.07941153816529307		10min	1239	0.031810829546329814		>10min	30770	0.7900074456340342				
mapnik	264753		0sec	1987	0.007505108535125192		30sec	16608	0.06273016736354262		1min	12987	0.04905326851820376		5min	32586	0.12308075829169074		10min	13712	0.05179166997163394		>10min	186522	0.7045132633057982				
ledger	43202		0sec	3706	0.08578306559881486		30sec	2198	0.0508772742002685		1min	1399	0.03238276005740475		5min	3511	0.08126938567658905		10min	1870	0.04328503310031943		>10min	29819	0.6902226748761632				
cpputest	16685		0sec	177	0.010608330836080312		30sec	455	0.027270002996703627		1min	270	0.016182199580461493		5min	1539	0.0922385376086305		10min	776	0.04650884027569673		>10min	13444	0.8057536709619418				
doxygen	33523		0sec	688	0.0205232228619157		30sec	358	0.010679235151985204		1min	337	0.010052799570444172		5min	1981	0.05909375652537064		10min	1192	0.03555767681890046		>10min	28873	0.861289264087343				
openfluid	149163		0sec	47413	0.3178603272929614		30sec	1285	0.008614736898560635		1min	2013	0.013495303795177088		5min	6564	0.04400555097443736		10min	2423	0.016243974712227563		>10min	89319	0.5988013113171496				
opengm	24874		0sec	29	0.0011658760151161856		30sec	726	0.029187102999115543		1min	521	0.020945565650880436		5min	3187	0.1281257537991477		10min	1007	0.04048403955937927		>10min	19404	0.7800916619763608				
moveit_ros	63977		0sec	117	0.001828782218609813		30sec	4730	0.07393281960704629		1min	3104	0.0485174359535458		5min	5102	0.0797474092251903		10min	1634	0.02554042859152508		>10min	49280	0.7702768182315519				
supercollider	3729463		0sec	327318	0.08776545041471118		30sec	79826	0.021404153895614463		1min	92958	0.024925304259621292		5min	294821	0.07905186349884688		10min	177496	0.04759291082925343		>10min	2756479	0.7391088207605223				
Mudlet	306491		0sec	13396	0.04370764557523712		30sec	24799	0.08091265322635902		1min	15040	0.04907158774645911		5min	27406	0.08941861261831506		10min	11438	0.037319203500265914		>10min	214386	0.6994854661311425				
YouCompleteMe	53173		0sec	615	0.0115660203486732		30sec	221	0.004156244710661426		1min	4161	0.07825400109077915		5min	21633	0.4068418182160119		10min	230	0.004325503545032253		>10min	26277	0.49417937675135876				
ros_comm	17735		0sec	42	0.002368198477586693		30sec	2270	0.12799548914575698		1min	1517	0.08553707358330984		5min	2643	0.14902734705384832		10min	1168	0.06585847194812518		>10min	10042	0.5662249788553707				
tiled	78979		0sec	1247	0.015789007204446752		30sec	1575	0.019942009901366187		1min	1381	0.017485660745261398		5min	6858	0.08683320882766304		10min	4404	0.05576165816229631		>10min	63431	0.8031375428911482				
